17,7,2g,0,2.5,z,0,3,s,0,4,g,1,2,z,0,2,s,2,4,g,0,3,s,0,2,z,0,1,g,1,2,s,0,3.5,z
17,7,2g,0,2.5,z,0,1.5,z,0,2,g,1,2,s,0,2,g,2,2,g,0,2,g,0,3,g,0,1,g,1,4,z,0,1.5,g
17,12,2g,0,2.5,z,0,2,s,0,2,g,1,1,z,0,2,z,0,3,g,0,3,z,0,2,g,0,1,g,2,3,g,0,1.5,z
18,7,2g,0,3.5,z,1,1.5,z,2,1,z,3,0.5,z,2,1.5,z,3,1,z,1,1,z,3,0.5,z,0,1,g,2,4,g,1,3.5,g
18,13,2z,0,1.5,g,0,2,z,0,2,z,0,3.5,g,0,2,s,0,3.5,g,0,2,s,0,3,s,0,1,g,2,2,g,0,2.5,g
17,7,2g,0,1.5,z,1,2,g,0,2,g,3,1,z,1,3.5,z,0,3,z,2,4,s,0,3,z,0,1,g,3,0.5,s,0,2,g
14,9,3z,0,2.5,z,1,3,g,1,1,g,2,1.5,g,0,1.5,g,1,3,z,0,3,s,0,2,g,0,2,g,1,3.5,g,0,1.5,z
18,3,4g,2,1.5,z,1,2,s,3,0.5,z,1,2.5,z,3,4,z,2,0.5,z,1,2,s,3,4,z,3,1,g,2,3,g,1,1.5,z
17,7,3g,0,2.5,z,2,2,s,0,2.5,z,1,3.5,z,0,1.5,g,3,4,z,1,1.5,g,0,1.5,z,0,1,g,1,4,z,0,2.5,z
17,7,2g,0,1.5,g,0,3,g,0,2,s,0,4,z,0,2,z,0,1,z,0,2,s,0,0.5,z,0,1,g,0,4,z,0,2.5,z
17,7,2g,0,2.5,g,1,0.5,z,2,3,s,2,2,z,0,1.5,z,1,3,z,2,2,z,0,0.5,z,0,1.5,g,2,3,s,1,1.5,z
17,7,2g,1,1.5,z,0,2,s,0,4,g,2,4,z,0,2.5,z,3,3,g,1,3,s,0,3,s,0,1,g,3,2,z,0,2.5,z
14,3,4z,0,2.5,z,2,2,s,3,3,s,2,2,g,3,1.5,g,3,3,g,2,3,s,3,2,g,1,1,g,2,4,g,1,2.5,z
17,7,3g,0,2.5,z,0,2,s,0,2.5,g,2,2.5,z,0,2.5,z,3,1,g,0,3.5,z,0,3,s,0,1,g,3,4,z,0,3.5,z
14,9,3z,0,2.5,z,0,3,s,1,3,g,2,2,g,0,3,z,0,3,z,1,2,s,0,3,g,2,4,z,0,4,z,0,2,z
17,3,3g,0,2.5,g,2,2,s,0,2,g,2,1,z,0,3,g,3,2,z,2,1,z,0,2,g,2,3,z,3,1,z,3,3,z
18,1,3z,0,1.5,g,1,3,s,3,3.5,s,2,2,z,1,3,z,3,4,g,3,0.5,z,0,1.5,s,0,1,g,3,2.5,s,1,2.5,g
17,7,3g,0,1.5,z,1,2,s,1,1,z,3,2,s,0,2.5,g,1,1,z,2,4,g,0,1.5,g,0,1,g,1,3,s,1,2.5,z
17,4,3g,2,1,g,0,2,s,0,1,z,2,3.5,g,0,2.5,g,3,1.5,s,3,1.5,z,3,2.5,g,0,4,g,3,2.5,s,0,2,z
18,9,3g,0,0.5,g,0,2,s,0,3,z,0,2,z,0,2.5,g,3,2,g,0,1,z,0,0.5,s,0,4,g,3,1,z,0,2.5,z
13,3,4z,0,2.5,z,3,4,g,3,2,g,3,3,g,0,2,s,1,3,z,0,2,s,3,1,g,0,1,g,0,4,z,0,2,z
17,12,3g,0,2.5,z,0,2,s,2,4,z,3,2,z,0,2,g,2,3,z,2,2,s,0,2,s,0,1,g,3,4,z,0,3.5,g
13,3,4z,0,2.5,z,2,3,g,3,1,g,3,1,z,3,3,g,3,1,g,0,2,s,3,3,g,2,4,g,3,4,g,0,2.5,z
18,3,1g,1,2.5,g,2,2,s,1,3,z,3,3,z,0,2,g,3,3.5,z,1,2.5,s,0,0.5,g,0,1,g,3,4,g,0,2,s
17,3,1g,0,1.5,g,0,2,s,0,1,g,3,3,z,0,0.5,g,3,3,z,2,2,s,3,3,z,0,1,g,3,4,z,2,3,z
17,3,1g,0,2.5,g,0,2,s,0,2,z,2,3,z,0,0.5,g,3,2,z,0,2,s,0,2,s,0,1,g,3,3,g,3,3,z
17,11,3g,0,2.5,g,0,2.5,s,0,3,z,0,2,z,0,2,s,0,3,z,0,1.5,s,0,1.5,s,0,1,g,0,1,g,0,2.5,s
17,12,3g,0,2.5,z,0,2,s,0,3,z,1,4,z,1,2.5,s,0,3,z,0,2,s,0,2,g,0,1,g,2,4,g,1,2.5,g
15,10,1g,0,2.5,z,0,2,s,2,3,g,2,2.5,g,0,3,z,1,3,z,1,3,s,0,1,z,0,1,g,2,4,g,0,3.5,z
13,3,4z,0,2.5,z,0,2,s,0,2,g,3,1,z,0,1.5,z,0,3,z,0,2,s,0,2,s,0,1,g,0,4,z,0,2.5,z
15,10,1g,0,2.5,z,0,2,s,0,3,z,3,3,g,0,0.5,g,1,3,z,0,2,s,0,2,g,0,1,g,0,4,z,0,2.5,z
13,3,4z,0,3.5,z,1,2,s,2,3,z,3,1,z,2,2,z,3,3,g,1,3,s,3,3,g,0,2,g,2,3,g,1,3.5,z
16,5,1g,0,2.5,z,0,2,s,2,2,z,2,3,g,1,2,s,1,4,g,1,2,s,2,3,g,0,1,g,1,4,z,1,2,s
17,1,3g,2,1.5,z,1,2,s,2,2,z,2,1,z,3,3,z,2,2,z,2,3,z,0,2,s,0,1,g,2,4,g,0,3.5,z
16,1,2g,2,2.5,z,1,3,s,0,2,g,3,2.5,z,0,3,s,3,4,g,3,2,z,3,2.5,s,2,2,g,3,4,g,3,1,g
16,5,1g,0,2.5,z,1,2,s,2,4,g,2,1,z,2,3,z,3,1,z,1,2,s,3,2,z,0,1,g,2,4,z,0,2.5,z
15,5,1g,0,2.5,z,1,2,s,0,2,z,1,2,z,0,0.5,z,0,3,z,2,2,s,1,1,z,0,1,g,0,4,z,1,2.5,z
15,1,2g,1,2.5,z,3,3,s,0,2,g,3,3,z,3,2,z,3,3,g,3,1,s,3,1,z,2,2.5,g,3,4,g,3,1.5,g
15,4,1g,0,2.5,z,2,1.5,z,3,3.5,g,3,2,z,3,3,z,3,3,g,3,2.5,g,3,4,z,0,1,g,3,3,g,1,2,z
15,5,1g,0,2.5,z,1,2,s,2,3,s,3,4,g,2,3,g,0,3,z,3,2.5,g,1,2,s,0,1,g,0,4,z,0,0.5,g
15,1,2g,2,1.5,z,2,3,s,0,2,g,3,1,z,1,2,z,3,3,z,3,2,g,1,1,z,1,1,g,2,3,g,2,1.5,g
14,3,4z,0,2.5,z,2,2,s,3,3,s,2,3,g,1,2,g,3,4,g,2,3,g,3,4,g,0,1,g,1,0.5,g,0,1.5,z
17,12,2g,0,1.5,z,0,2,s,0,3,s,3,4,g,0,2,s,1,3,z,0,2,s,0,1,z,0,1,g,3,4,g,0,2.5,z
13,3,4z,0,2.5,z,2,1.5,g,2,4,g,2,4,g,2,3.5,g,3,3,g,2,2.5,g,3,3.5,g,0,1,g,2,3,g,1,2.5,z
12,1,4z,0,2.5,z,1,3,s,3,2,g,3,2.5,g,1,1.5,g,2,3,s,3,0.5,g,3,2,s,1,2,s,0,4,z,0,2.5,z
14,3,4z,0,3.5,z,2,3.5,s,2,1,g,2,4,g,2,2.5,z,3,2,g,1,3,s,3,2,g,0,1,g,3,3,g,0,2.5,z
15,1,2g,0,1.5,z,1,3,s,0,2,g,2,3.5,g,0,0.5,g,3,2,z,3,3,z,3,1,z,0,1,g,3,3,z,1,3.5,z
12,1,4z,0,2.5,z,0,3,s,2,2,g,2,4,g,2,3.5,z,1,3,z,2,0.5,g,2,1,g,1,0.5,g,2,0.5,g,1,1.5,z
18,4,3z,0,1.5,g,0,2,s,0,3,g,0,2,g,0,2,z,3,1,z,2,3,z,2,4,g,0,1,g,3,2,g,1,2.5,z
18,4,3g,0,1.5,z,1,2,s,0,3,g,2,4,g,0,1.5,z,3,3,z,2,2,s,1,2,z,0,1,g,1,2,s,0,1.5,z
18,4,3g,2,1.5,z,0,2,s,3,3,z,2,4,z,2,3,z,2,3,z,2,2,s,0,2,g,0,1,g,3,4,z,2,2.5,z
18,4,3z,0,2.5,z,2,1,z,3,1,z,0,4,g,1,3,s,3,2,z,3,2,s,0,1,z,0,1,g,3,4,z,3,1.5,z
13,3,4z,0,2.5,z,0,3,s,3,4,g,2,4,g,1,1.5,z,0,2,z,2,3.5,g,2,3.5,g,0,1,g,3,4,g,0,2.5,z
11,6,4z,0,2.5,z,2,2,s,0,3,g,2,4,g,0,2.5,z,0,3,z,1,2,s,0,2,g,1,1,g,3,4,g,1,2.5,z
11,1,4g,0,2.5,z,1,3,s,2,2,g,2,2,g,1,2.5,z,0,3,s,3,3.5,g,0,1,z,3,2.5,g,0,4,z,0,2.5,z
12,1,4z,0,3.5,z,0,1.5,z,3,2,s,2,2,g,1,3,g,0,3,s,3,4,g,2,2,s,3,1,g,3,2,g,0,2.5,z
16,6,3g,0,2.5,g,2,2,z,0,3,z,2,2.5,g,2,2.5,z,0,3,z,2,1.5,s,0,2,s,0,1,g,0,4,z,0,3,z
14,1,3g,1,1.5,g,1,3,s,3,2,z,3,3.5,z,0,2.5,z,3,3.5,z,3,3.5,g,3,1.5,z,1,3.5,g,3,0.5,g,3,2.5,z
16,1,3g,1,2.5,z,0,2,s,2,1,z,2,4,z,2,2.5,z,3,3,z,3,3.5,z,0,2,s,0,1,g,3,1,s,2,0.5,g
15,1,3g,2,1.5,z,2,3,s,1,3,z,2,1,z,0,0.5,g,3,2,z,2,4,z,3,1,s,0,1,g,1,4,z,2,2.5,z
11,6,3z,0,2.5,z,2,3.5,g,1,2,s,2,3,z,0,3,z,0,3,z,0,2,s,0,2,g,2,3,g,1,2,s,0,2,s
15,10,3g,0,2.5,z,0,2,s,0,2,s,0,2.5,z,0,2.5,g,0,3,z,0,2,s,0,3,g,0,1,g,0,2,s,0,1.5,g
14,1,3g,1,1.5,z,3,0.5,s,0,2,g,3,2,s,0,2.5,g,1,3,z,3,3,z,3,1,z,0,1,g,3,1,z,2,2,z
15,1,3g,0,1.5,g,1,4,g,3,2,s,3,2.5,z,0,3,z,2,1.5,g,1,1,g,3,0.5,z,0,1,g,2,2,g,2,3.5,z
17,7,4g,0,2.5,z,1,2,g,1,3,s,3,2,z,0,3,g,3,2,z,3,2,s,3,0.5,z,0,1,g,3,3,g,1,2.5,z
17,3,4g,2,2.5,z,0,3,s,3,1,z,1,3,g,2,2,z,0,4,z,3,2,z,3,2,z,3,2,g,3,3,z,3,2.5,z
17,3,4g,0,1.5,z,0,2,s,2,3,z,1,2,s,1,3,z,3,3,z,2,2,z,3,2,z,0,1,g,3,2,s,2,3,g
17,3,4g,1,2.5,z,2,4,z,3,3.5,z,3,1,z,3,3.5,z,2,2,z,2,3,z,3,1,z,0,1,g,2,2,g,0,2.5,z
15,1,3g,1,2.5,z,2,2,s,3,1,z,3,3,z,2,2,z,3,3,z,2,2.5,s,3,0.5,z,2,1,g,3,2,g,3,3,g
17,3,4g,0,2.5,z,2,2.5,g,3,3,g,3,1,z,0,2.5,z,1,2,g,3,1,g,3,3.5,z,0,1,g,3,0.5,z,2,3.5,z
13,8,4z,0,2.5,z,1,2,s,0,3,s,2,3.5,g,0,3,g,0,3,z,0,3,s,0,0.5,g,0,1,g,1,2.5,g,0,3.5,z
16,5,1g,0,2.5,g,2,2.5,z,2,1,z,2,0.5,s,3,0.5,z,1,0.5,z,3,0.5,z,3,0.5,z,0,1,g,0,4,z,0,1.5,z
11,1,4z,0,2.5,z,3,3.5,g,3,1.5,s,2,2.5,s,2,2,z,1,3,z,3,1.5,g,3,2.5,s,2,3.5,g,3,4,g,2,3,z
12,6,3z,0,2.5,z,3,4,g,0,2,z,3,4,g,1,2,z,3,1.5,s,0,1,s,0,2,s,3,4,g,1,2,s,0,1.5,s
16,10,3g,0,2.5,z,0,2,s,1,3,s,2,2,g,1,2,s,0,3,z,0,2,s,1,2,s,3,4,g,0,4,z,0,3.5,z
18,8,1g,0,2.5,z,0,2,s,0,0.5,g,1,3,g,1,3.5,g,1,3,z,0,2,s,0,3,g,0,1,g,0,4,z,1,3.5,g
19,8,1g,1,0.5,g,1,3,s,1,3,g,1,3,g,0,1.5,g,2,3,g,0,2,s,3,2.5,g,0,1,g,3,3.5,s,0,1.5,g
18,8,1g,0,2.5,z,0,2,g,0,3,g,2,4,z,0,2.5,z,3,3,z,0,3,s,0,3,g,0,1,g,2,2,s,0,2.5,z
12,1,4z,0,2.5,g,0,4,g,2,2,z,2,1,z,1,2,z,0,3,z,3,2,g,3,2,g,2,2,g,3,1,g,0,3.5,g
14,5,4z,0,2.5,z,2,3,s,3,1,g,3,2,g,3,2.5,g,1,1,z,2,2,s,3,4,g,2,2,g,3,3,g,0,2.5,z
19,4,3g,0,1.5,z,1,2,s,3,4,z,0,3,g,0,2,g,2,2,z,0,3,s,3,1,z,0,1,g,3,4,z,0,2.5,z
14,4,4z,0,3.5,z,1,2,s,2,1,z,3,2,g,3,3,z,3,2,s,2,0.5,g,2,2,s,2,2.5,g,3,1,g,0,2.5,z
14,1,3g,0,2.5,z,3,0.5,z,0,3,z,2,0.5,z,2,2,z,0,3,s,2,2,z,2,4,z,1,4,g,2,3,z,2,0.5,z
15,5,1g,0,2.5,z,0,2,s,3,4,g,2,2.5,g,0,1.5,z,1,3,z,0,2,s,3,1,z,0,1,g,0,4,z,0,2.5,z
14,8,4z,0,2.5,z,2,3,g,3,2,g,3,1,g,2,3,z,2,2.5,z,3,2,g,0,2,s,2,2.5,g,3,2.5,g,0,2.5,z
13,7,4z,0,1.5,z,1,2,s,1,3,s,3,3,g,2,2,g,0,3,g,0,2,s,0,2,s,2,2,g,0,4,g,0,1.5,z
12,3,4z,0,3.5,z,1,3,g,1,2,g,3,4,g,3,1,z,2,1,g,2,1,g,3,0.5,g,1,1.5,g,1,3,g,2,1.5,g
12,2,4z,0,3.5,z,2,2,s,3,1,g,2,2,s,3,1,g,3,4,g,3,3,g,3,4,g,2,2,s,0,3,s,0,2,s
12,2,4z,0,3.5,z,2,2.5,g,2,2,s,2,2,s,2,3,z,3,3,z,2,2,s,1,2,s,3,3.5,g,2,2,z,1,3,s
12,7,4z,0,2.5,z,1,2,s,0,3,z,3,3,g,1,3,z,0,3,z,0,2,s,0,2,g,3,3,g,2,4,g,0,2.5,z
13,7,4z,0,1.5,z,0,3,s,2,3.5,g,2,3.5,g,0,1.5,g,3,3,g,2,3.5,g,2,3.5,g,3,3,z,0,3,z,0,1.5,z
15,1,3g,1,2.5,z,0,4,g,2,2,z,2,4,z,0,4,g,0,3,z,2,2,z,3,2,z,0,1,g,3,4,g,2,4,z
14,1,3g,1,0.5,z,0,2,s,0,2,g,2,1,s,2,1,g,3,4,z,2,2,g,3,1,g,2,2,z,3,1,z,3,2,g
13,2,4z,0,2.5,z,2,2,s,3,3,g,2,1,g,2,3,s,2,2,g,2,2,g,2,4,g,1,3,z,2,2,g,0,2,z
14,1,3g,0,2.5,z,0,3,s,0,3,g,2,4,z,0,2,z,1,3,z,2,2,z,3,1,z,3,1,z,1,4,z,2,1.5,z
13,8,4z,0,1.5,z,0,3,s,3,3.5,z,2,2,g,0,4,g,0,3,z,1,3.5,z,0,3,s,0,3,g,0,4,g,0,3,z
12,7,4z,0,2.5,z,1,4,s,3,4,g,2,3,g,1,1,z,0,2,z,3,3.5,g,1,4,s,2,3,g,2,3,s,0,4,s
13,8,4z,0,2.5,z,2,2,g,3,1,g,2,3,g,3,4,g,0,3,z,2,1,g,1,1,z,2,1,g,1,4,g,0,2.5,z
17,12,3g,0,2.5,z,0,3,s,0,3,z,0,2,z,1,3,z,0,3,z,0,3.5,z,1,2,z,0,1,g,2,2,s,0,2.5,z
12,2,4z,0,2.5,z,0,3,s,3,2,z,2,2,z,2,2,z,0,3,s,2,3,s,0,3,s,2,3,g,0,4,z,0,3.5,z
16,1,3g,0,2.5,z,2,2,s,2,1,z,0,3,g,2,4,z,0,3,z,2,4,s,3,2,s,3,1,g,3,2,g,3,0.5,z
18,8,1g,0,2.5,z,0,3,s,1,4,z,2,4,z,1,3,z,1,4,z,0,3,z,0,4,z,0,1,g,2,4,g,0,2.5,z
15,2,3z,0,2.5,z,2,4,s,2,4,g,1,2,g,3,3,z,3,0.5,g,1,2,s,3,3.5,g,0,2.5,g,3,2,s,3,2.5,g
17,7,2g,0,1.5,z,0,3,s,1,2,s,2,2,z,1,1,z,3,1,g,2,2,s,0,2,z,0,1,g,2,3,g,0,2.5,g
17,3,4g,0,1.5,z,0,3,s,0,2,z,1,2.5,z,0,0.5,g,3,1,z,2,2,s,2,2,g,2,2,g,3,1,z,0,2.5,z
17,7,2g,0,2.5,z,1,2,s,0,2,g,2,2,z,0,2,s,3,3,z,0,2,g,3,4,z,0,1,g,3,3,g,0,2.5,g
13,7,4z,0,2.5,s,2,2,g,3,3,g,2,3,z,3,1.5,g,0,3,z,3,2,g,0,2.5,s,1,3,z,2,1,g,0,3.5,z
15,1,3g,0,2.5,z,1,2,s,1,3,g,2,2,z,2,2,s,3,4,z,1,2,s,3,3,z,0,1,g,3,2,z,3,1,z
18,8,3g,0,1.5,g,0,2,s,1,1,z,2,2,z,0,2.5,z,3,0.5,z,2,3,s,3,0.5,z,0,1,g,3,4,z,0,2.5,z
14,5,4z,0,2.5,z,0,2,s,2,2.5,s,2,4,g,3,3,g,3,2.5,g,3,2,g,0,3,s,1,1,g,2,3,g,0,3.5,z
18,3,4g,0,1.5,z,2,3,g,2,2,z,2,1,z,1,2,s,3,1,z,2,3,s,3,2,g,2,1,g,3,4,z,2,2,s
16,5,1g,0,2.5,z,0,2,s,0,3,z,2,0.5,g,0,3,z,0,3,z,2,3,s,0,3,z,0,1,g,0,4,z,0,2.5,z
13,2,4z,0,2.5,z,0,2,s,1,2,g,3,3.5,g,1,2.5,g,0,2,z,0,2,s,2,2,g,3,3,g,2,1,g,1,1.5,s
12,6,4z,0,2.5,z,2,2,s,3,3,s,3,2,s,3,3,s,3,3,g,3,2,s,3,3,s,3,3,z,0,3,s,0,1,z
16,2,4g,1,2.5,z,1,1.5,z,1,2.5,z,2,3.5,z,0,1.5,g,3,2,z,3,3.5,z,2,2.5,z,0,1,g,3,2.5,g,2,2.5,g
15,2,4g,0,3.5,z,1,2,s,1,3,z,2,3,s,1,2,s,1,3,z,1,2,s,2,3,z,0,1,g,2,2,s,2,2,z
16,2,4g,0,2.5,g,1,3,s,2,2,s,1,2,z,0,3.5,z,2,2,z,2,3,s,2,1,z,0,1,g,0,4,z,2,2.5,z
16,2,4g,0,2.5,z,0,3,s,1,2.5,z,0,3,z,0,2.5,g,0,3,z,0,3,s,2,1.5,z,1,3,g,3,3,z,1,1.5,g
16,2,4g,1,2.5,z,3,2,s,3,3,z,3,1,z,3,3,z,3,1,z,3,2,g,3,2,z,0,2,g,1,2,s,3,2,z
14,8,4z,0,1.5,z,0,2,s,0,3,g,2,2,g,0,3,s,0,3,z,2,2,s,0,2,s,0,1,g,1,2,z,0,3.5,z
16,2,4g,0,2.5,z,1,2,s,0,1,g,2,1,z,0,3,z,2,2,g,0,3,s,0,2,g,0,1,g,1,4,z,1,2,z
14,8,4z,0,3.5,z,1,3,s,2,1,g,3,2.5,g,3,2.5,g,0,1,z,2,3,s,0,2,s,2,3,g,3,1,g,0,2.5,z
16,2,4g,0,3.5,z,0,3,s,1,2,z,2,1,z,0,0.5,g,2,3,z,1,2,s,2,1,z,0,1,g,1,2,g,2,1.5,z
16,10,4g,1,3.5,z,1,2,g,2,1,z,2,2,s,0,3,g,2,3,g,0,2,s,0,3,s,2,1,g,2,1,g,0,2.5,g
16,3,4g,0,2.5,z,2,2,g,2,4,z,2,3,z,2,3,s,2,3,g,2,1,g,3,1,z,0,1,g,3,2,s,1,3.5,g
16,2,4g,0,2.5,z,1,3,s,2,1,z,3,1.5,z,0,1.5,g,0,3,z,0,3,s,3,1,z,0,1,g,2,0.5,z,0,2.5,z
14,8,4z,1,3.5,z,1,2,s,0,2,g,1,1,g,0,3,z,0,3,z,0,2,s,0,2,g,0,1,g,1,2,g,0,2.5,z
16,2,4g,0,3.5,z,2,2,s,0,2,g,3,1,z,0,0.5,g,3,1,z,3,2,s,3,3,s,3,1,g,3,1,z,3,3,z
16,2,4g,0,1.5,z,1,3,s,3,2,z,2,1,z,1,2,z,3,2,s,1,2,s,3,2,z,1,1.5,g,3,1.5,z,3,4,z
